AD-SaUDA	Universitat_d'Andorra
DE-MUS-145613	Museum_Achse,_Rad_und_Wagen
DE-MUS-145717	Kloster_Wienhausen
DE-MUS-145811	Museum_Wiesbaden
DE-MUS-146012	Deutsches_Erdölmuseum_Wietze
DE-MUS-146512	Küstenmuseum_Wilhelmshaven
DE-MUS-147119	Dorf-_und_Heimatmuseum_Winterbach
DE-MUS-147817	Automobilmuseum_von_Fritz_B._Busch
DE-MUS-148414	Städtische_Galerie_Wolfsburg
DE-MUS-149615	Von_der_Heydt-Museum
DE-MUS-149719	Wuppertaler_Uhrenmuseum
DE-MUS-150110	Mainfränkisches_Museum
DE-MUS-150412	Residenz_Würzburg
DE-MUS-150516	Museum_im_Kulturspeicher
DE-MUS-150912	LVR-RömerMuseum
DE-MUS-151217	Heimatmuseum_Fürstenberger_Hof
DE-MUS-151613	Römerthermen_Zülpich_-_Museum_der_Badekultur
DE-MUS-151717	Waldmuseum_Zwiesel
DE-MUS-151811	Museum_der_Stadt_Bad_Schwartau
DE-MUS-153411	Klaus-Groth-Museum
DE-MUS-153817	Schreibersches_Haus
DE-MUS-157517	Geldmuseum_der_Deutschen_Bundesbank
DE-MUS-160914	Museumsdorf_Hösseringen
DE-MUS-163517	Niedersächsisches_Landesmuseum_Hannover
DE-MUS-163715	Historisches_Museum_am_Hohen_Ufer
DE-MUS-163819	Museum_August_Kestner
DE-MUS-163913	Sprengel_Museum_Hannover
DE-MUS-164218	Wilhelm-Busch-Museum
DE-MUS-164312	Haus_am_Checkpoint_Charlie
DE-MUS-164718	Bleikeller
DE-MUS-166214	Museum_bei_der_Kaiserpfalz
DE-MUS-166516	Rhein-Museum_Koblenz
